name	dex	types	gen	height_m	weight_kg
hypno	97	Psychic	1	1.6	75.6
krabby	98	Water	1	0.4	6.5
kingler	99	Water	1	1.3	60.0
voltorb	100	Electric	1	0.5	10.4
electrode	101	Electric	1	1.2	66.6
exeggcute	102	Grass/Psychic	1	0.4	2.5
exeggutor	103	Grass/Psychic	1	2.0	120.0
cubone	104	Ground	1	0.4	6.5
marowak	105	Ground	1	1.0	45.0
hitmonlee	106	Fighting	1	1.5	49.8
hitmonchan	107	Fighting	1	1.4	50.2
lickitung	108	Normal	1	1.2	65.5
koffing	109	Poison	1	0.6	1.0
weezing	110	Poison	1	1.2	9.5
rhyhorn	111	Ground/Rock	1	1.0	115.0
rhydon	112	Ground/Rock	1	1.9	120.0
chansey	113	Normal	1	1.1	34.6
tangela	114	Grass	1	1.0	35.0
kangaskhan	115	Normal	1	2.2	80.0
horsea	116	Water	1	0.4	8.0
seadra	117	Water	1	1.2	25.0
goldeen	118	Water	1	0.6	15.0
seaking	119	Water	1	1.3	39.0
staryu	120	Water	1	0.8	34.5
starmie	121	Water/Psychic	1	1.1	80.0
mr-mime	122	Psychic/Fairy	1	1.3	54.5
scyther	123	Bug/Flying	1	1.5	56.0
jynx	124	Ice/Psychic	1	1.4	40.6
electabuzz	125	Electric	1	1.1	30.0
magmar	126	Fire	1	1.3	44.5
pinsir	127	Bug	1	1.5	55.0
tauros	128	Normal	1	1.4	88.4
magikarp	129	Water	1	0.9	10.0
gyarados	130	Water/Flying	1	6.5	235.0
lapras	131	Water/Ice	1	2.5	220.0
ditto	132	Normal	1	0.3	4.0
eevee	133	Normal	1	0.3	6.5
vaporeon	134	Water	1	1.0	29.0
jolteon	135	Electric	1	0.8	24.5
flareon	136	Fire	1	0.9	25.0
porygon	137	Normal	1	0.8	36.5
omanyte	138	Rock/Water	1	0.4	7.5
omastar	139	Rock/Water	1	1.0	35.0
kabuto	140	Rock/Water	1	0.5	11.5
kabutops	141	Rock/Water	1	1.3	40.5
aerodactyl	142	Rock/Flying	1	1.8	59.0
snorlax	143	Normal	1	2.1	460.0
articuno	144	Ice/Flying	1	1.7	55.4
zapdos	145	Electric/Flying	1	1.6	52.6
moltres	146	Fire/Flying	1	2.0	60.0
dratini	147	Dragon	1	1.8	3.3
dragonair	148	Dragon	1	4.0	16.5
dragonite	149	Dragon/Flying	1	2.2	210.0
mewtwo	150	Psychic	1	2.0	122.0
mew	151	Psychic	1	0.4	4.0
chikorita	152	Grass	2	0.9	6.4
bayleef	153	Grass	2	1.2	15.8
meganium	154	Grass	2	1.8	100.5
cyndaquil	155	Fire	2	0.5	7.9
quilava	156	Fire	2	0.9	19.0
typhlosion	157	Fire	2	1.7	79.5
totodile	158	Water	2	0.6	9.5
croconaw	159	Water	2	1.1	25.0
feraligatr	160	Water	2	2.3	88.8
sentret	161	Normal	2	0.8	6.0
furret	162	Normal	2	1.8	32.5
hoothoot	163	Normal/Flying	2	0.7	21.2
noctowl	164	Normal/Flying	2	1.6	40.8
ledyba	165	Bug/Flying	2	1.0	10.8
ledian	166	Bug/Flying	2	1.4	35.6
spinarak	167	Bug/Poison	2	0.5	8.5
ariados	168	Bug/Poison	2	1.1	33.5
crobat	169	Poison/Flying	2	1.8	75.0
chinchou	170	Water/Electric	2	0.5	12.0
lanturn	171	Water/Electric	2	1.2	22.5
pichu	172	Electric	2	0.3	2.0
cleffa	173	Fairy	2	0.3	3.0
igglybuff	174	Normal/Fairy	2	0.3	1.0
togepi	175	Fairy	2	0.3	1.5
togetic	176	Fairy/Flying	2	0.6	3.2
natu	177	Psychic/Flying	2	0.2	2.0
xatu	178	Psychic/Flying	2	1.5	15.0
mareep	179	Electric	2	0.6	7.8
flaaffy	180	Electric	2	0.8	13.3
ampharos	181	Electric	2	1.4	61.5
bellossom	182	Grass	2	0.4	5.8
marill	183	Water/Fairy	2	0.4	8.5
azumarill	184	Water/Fairy	2	0.8	28.5
sudowoodo	185	Rock	2	1.2	38.0
politoed	186	Water	2	1.1	33.9
hoppip	187	Grass/Flying	2	0.4	0.5
skiploom	188	Grass/Flying	2	0.6	1.0
jumpluff	189	Grass/Flying	2	0.8	3.0
aipom	190	Normal	2	0.8	11.5
sunkern	191	Grass	2	0.3	1.8
sunflora	192	Grass	2	0.8	8.5
yanma	193	Bug/Flying	2	1.2	38.0
wooper	194	Water/Ground	2	0.4	8.5
quagsire	195	Water/Ground	2	1.4	75.0
espeon	196	Psychic	2	0.9	26.5
umbreon	197	Dark	2	1.0	27.0
murkrow	198	Dark/Flying	2	0.5	2.1
slowking	199	Water/Psychic	2	2.0	79.5
misdreavus	200	Ghost	2	0.7	1.0
unown	201	Psychic	2	0.5	5.0
wobbuffet	202	Psychic	2	1.3	28.5
girafarig	203	Normal/Psychic	2	1.5	41.5
pineco	204	Bug	2	0.6	7.2
forretress	205	Bug/Steel	2	1.2	125.8
dunsparce	206	Normal	2	1.5	14.0
gligar	207	Ground/Flying	2	1.1	64.8
steelix	208	Steel/Ground	2	9.2	400.0
snubbull	209	Fairy	2	0.6	7.8
granbull	210	Fairy	2	1.4	48.7
qwilfish	211	Water/Poison	2	0.5	3.9
scizor	212	Bug/Steel	2	1.8	118.0
shuckle	213	Bug/Rock	2	0.6	20.5
heracross	214	Bug/Fighting	2	1.5	54.0
sneasel	215	Dark/Ice	2	0.9	28.0
teddiursa	216	Normal	2	0.6	8.8
ursaring	217	Normal	2	1.8	125.8
slugma	218	Fire	2	0.7	35.0
magcargo	219	Fire/Rock	2	0.8	55.0
swinub	220	Ice/Ground	2	0.4	6.5
piloswine	221	Ice/Ground	2	1.1	55.8
corsola	222	Water/Rock	2	0.6	5.0
remoraid	223	Water	2	0.6	12.0
octillery	224	Water	2	0.9	28.5
delibird	225	Ice/Flying	2	0.9	16.0
mantine	226	Water/Flying	2	2.1	220.0
skarmory	227	Steel/Flying	2	1.7	50.5
houndour	228	Dark/Fire	2	0.6	10.8
houndoom	229	Dark/Fire	2	1.4	35.0
kingdra	230	Water/Dragon	2	1.8	152.0
phanpy	231	Ground	2	0.5	33.5
donphan	232	Ground	2	1.1	120.0
porygon2	233	Normal	2	0.6	32.5
stantler	234	Normal	2	1.4	71.2
smeargle	235	Normal	2	1.2	58.0
tyrogue	236	Fighting	2	0.7	21.0
hitmontop	237	Fighting	2	1.4	48.0
smoochum	238	Ice/Psychic	2	0.4	6.0
elekid	239	Electric	2	0.6	23.5
magby	240	Fire	2	0.7	21.4
miltank	241	Normal	2	1.2	75.5
blissey	242	Normal	2	1.5	46.8
raikou	243	Electric	2	1.9	178.0
entei	244	Fire	2	2.1	198.0
suicune	245	Water	2	2.0	187.0
larvitar	246	Rock/Ground	2	0.6	72.0
pupitar	247	Rock/Ground	2	1.2	152.0
tyranitar	248	Rock/Dark	2	2.0	202.0
lugia	249	Psychic/Flying	2	5.2	216.0
ho-oh	250	Fire/Flying	2	3.8	199.0
celebi	251	Psychic/Grass	2	0.6	5.0
treecko	252	Grass	3	0.5	5.0
grovyle	253	Grass	3	0.9	21.6
sceptile	254	Grass	3	1.7	52.2
torchic	255	Fire	3	0.4	2.5
combusken	256	Fire/Fighting	3	0.9	19.5
blaziken	257	Fire/Fighting	3	1.9	52.0
mudkip	258	Water	3	0.4	7.6
marshtomp	259	Water/Ground	3	0.7	28.0
swampert	260	Water/Ground	3	1.5	81.9
poochyena	261	Dark	3	0.5	13.6
mightyena	262	Dark	3	1.0	37.0
zigzagoon	263	Normal	3	0.4	17.5
linoone	264	Normal	3	0.5	32.5
wurmple	265	Bug	3	0.3	3.6
silcoon	266	Bug	3	0.6	10.0
beautifly	267	Bug/Flying	3	1.0	28.4
cascoon	268	Bug	3	0.7	11.5
dustox	269	Bug/Poison	3	1.2	31.6
lotad	270	Water/Grass	3	0.5	2.6
lombre	271	Water/Grass	3	1.2	32.5
ludicolo	272	Water/Grass	3	1.5	55.0
seedot	273	Grass	3	0.5	4.0
nuzleaf	274	Grass/Dark	3	1.0	28.0
shiftry	275	Grass/Dark	3	1.3	59.6
taillow	276	Normal/Flying	3	0.3	2.3
swellow	277	Normal/Flying	3	0.7	19.8
wingull	278	Water/Flying	3	0.6	9.5
pelipper	279	Water/Flying	3	1.2	28.0
ralts	280	Psychic/Fairy	3	0.4	6.6
kirlia	281	Psychic/Fairy	3	0.8	20.2
gardevoir	282	Psychic/Fairy	3	1.6	48.4
surskit	283	Bug/Water	3	0.5	1.7
masquerain	284	Bug/Flying	3	0.8	3.6
shroomish	285	Grass	3	0.4	4.5
breloom	286	Grass/Fighting	3	1.2	39.2
slakoth	287	Normal	3	0.8	24.0
vigoroth	288	Normal	3	1.4	46.5
slaking	289	Normal	3	2.0	130.5
nincada	290	Bug/Ground	3	0.5	5.5
ninjask	291	Bug/Flying	3	0.8	12.0
shedinja	292	Bug/Ghost	3	0.8	1.2
whismur	293	Normal	3	0.6	16.3
loudred	294	Normal	3	1.0	40.5
exploud	295	Normal	3	1.5	84.0
makuhita	296	Fighting	3	1.0	86.4
hariyama	297	Fighting	3	2.3	253.8
azurill	298	Normal/Fairy	3	0.2	2.0
nosepass	299	Rock	3	1.0	97.0
skitty	300	Normal	3	0.6	11.0
delcatty	301	Normal	3	1.1	32.6
sableye	302	Dark/Ghost	3	0.5	11.0
mawile	303	Steel/Fairy	3	0.6	11.5
aron	304	Steel/Rock	3	0.4	60.0
lairon	305	Steel/Rock	3	0.9	120.0
aggron	306	Steel/Rock	3	2.1	360.0
meditite	307	Fighting/Psychic	3	0.6	11.2
medicham	308	Fighting/Psychic	3	1.3	31.5
electrike	309	Electric	3	0.6	15.2
manectric	310	Electric	3	1.5	40.2
plusle	311	Electric	3	0.4	4.2
minun	312	Electric	3	0.4	4.2
volbeat	313	Bug	3	0.7	17.7
illumise	314	Bug	3	0.6	17.7
roselia	315	Grass/Poison	3	0.3	2.0
gulpin	316	Poison	3	0.4	10.3
swalot	317	Poison	3	1.7	80.0
carvanha	318	Water/Dark	3	0.8	20.8
sharpedo	319	Water/Dark	3	1.8	88.8
wailmer	320	Water	3	2.0	130.0
wailord	321	Water	3	14.5	398.0
numel	322	Fire/Ground	3	0.7	24.0
camerupt	323	Fire/Ground	3	1.9	220.0
torkoal	324	Fire	3	0.5	80.4
spoink	325	Psychic	3	0.7	30.6
grumpig	326	Psychic	3	0.9	71.5
spinda	327	Normal	3	1.1	5.0
trapinch	328	Ground	3	0.7	15.0
vibrava	329	Ground/Dragon	3	1.1	15.3
flygon	330	Ground/Dragon	3	2.0	82.0
cacnea	331	Grass	3	0.4	51.3
cacturne	332	Grass/Dark	3	1.3	77.4
swablu	333	Normal/Flying	3	0.4	1.2
altaria	334	Dragon/Flying	3	1.1	20.6
zangoose	335	Normal	3	1.3	40.3
seviper	336	Poison	3	2.7	52.5
lunatone	337	Rock/Psychic	3	1.0	168.0
solrock	338	Rock/Psychic	3	1.2	154.0
barboach	339	Water/Ground	3	0.4	1.9
whiscash	340	Water/Ground	3	0.9	23.6
corphish	341	Water	3	0.6	11.5
crawdaunt	342	Water/Dark	3	1.1	32.8
baltoy	343	Ground/Psychic	3	0.5	21.5
claydol	344	Ground/Psychic	3	1.5	108.0
lileep	345	Rock/Grass	3	1.0	23.8
cradily	346	Rock/Grass	3	1.5	60.4
anorith	347	Rock/Bug	3	0.7	12.5
armaldo	348	Rock/Bug	3	1.5	68.2
feebas	349	Water	3	0.6	7.4
milotic	350	Water	3	6.2	162.0
castform	351	Normal	3	0.3	0.8
kecleon	352	Normal	3	1.0	22.0
shuppet	353	Ghost	3	0.6	2.3
banette	354	Ghost	3	1.1	12.5
duskull	355	Ghost	3	0.8	15.0
dusclops	356	Ghost	3	1.6	30.6
tropius	357	Grass/Flying	3	2.0	100.0
chimecho	358	Psychic	3	0.6	1.0
absol	359	Dark	3	1.2	47.0
wynaut	360	Psychic	3	0.6	14.0
snorunt	361	Ice	3	0.7	16.8
glalie	362	Ice	3	1.5	256.5
spheal	363	Ice/Water	3	0.8	39.5
sealeo	364	Ice/Water	3	1.1	87.6
walrein	365	Ice/Water	3	1.4	150.6
clamperl	366	Water	3	0.4	52.5
huntail	367	Water	3	1.7	27.0
gorebyss	368	Water	3	1.8	22.6
relicanth	369	Water/Rock	3	1.0	23.4
luvdisc	370	Water	3	0.6	8.7
bagon	371	Dragon	3	0.6	42.1
shelgon	372	Dragon	3	1.1	110.5
salamence	373	Dragon/Flying	3	1.5	102.6
beldum	374	Steel/Psychic	3	0.6	95.2
metang	375	Steel/Psychic	3	1.2	202.5
metagross	376	Steel/Psychic	3	1.6	550.0
regirock	377	Rock	3	1.7	230.0
regice	378	Ice	3	1.8	175.0
registeel	379	Steel	3	1.9	205.0
latias	380	Dragon/Psychic	3	1.4	40.0
latios	381	Dragon/Psychic	3	2.0	60.0
kyogre	382	Water	3	4.5	352.0
groudon	383	Ground	3	3.5	950.0
rayquaza	384	Dragon/Flying	3	7.0	206.5
jirachi	385	Steel/Psychic	3	0.3	1.1
deoxys	386	Psychic	3	1.7	60.8
turtwig	387	Grass	4	0.4	10.2
grotle	388	Grass	4	1.1	97.0
torterra	389	Grass/Ground	4	2.2	310.0
chimchar	390	Fire	4	0.5	6.2
monferno	391	Fire/Fighting	4	0.9	22.0
infernape	392	Fire/Fighting	4	1.2	55.0
piplup	393	Water	4	0.4	5.2
prinplup	394	Water	4	0.8	23.0
empoleon	395	Water/Steel	4	1.7	84.5
starly	396	Normal/Flying	4	0.3	2.0
staravia	397	Normal/Flying	4	0.6	15.5
staraptor	398	Normal/Flying	4	1.2	24.9
bidoof	399	Normal	4	0.5	20.0
bibarel	400	Normal/Water	4	1.0	31.5
kricketot	401	Bug	4	0.3	2.2
kricketune	402	Bug	4	1.0	25.5
shinx	403	Electric	4	0.5	9.5
luxio	404	Electric	4	0.9	30.5
luxray	405	Electric	4	1.4	42.0
budew	406	Grass/Poison	4	0.2	1.2
roserade	407	Grass/Poison	4	0.9	14.5
cranidos	408	Rock	4	0.9	31.5
rampardos	409	Rock	4	1.6	102.5
shieldon	410	Rock/Steel	4	0.5	57.0
bastiodon	411	Rock/Steel	4	1.3	149.5
burmy	412	Bug	4	0.2	3.4
wormadam	413	Bug/Grass	4	0.5	6.5
mothim	414	Bug/Flying	4	0.9	23.3
combee	415	Bug/Flying	4	0.3	5.5
vespiquen	416	Bug/Flying	4	1.2	38.5
pachirisu	417	Electric	4	0.4	3.9
buizel	418	Water	4	0.7	29.5
floatzel	419	Water	4	1.1	33.5
cherubi	420	Grass	4	0.4	3.3
cherrim	421	Grass	4	0.5	9.3
shellos	422	Water	4	0.3	6.3
gastrodon	423	Water/Ground	4	0.9	29.9
ambipom	424	Normal	4	1.2	20.3
drifloon	425	Ghost/Flying	4	0.4	1.2
drifblim	426	Ghost/Flying	4	1.2	15.0
buneary	427	Normal	4	0.4	5.5
lopunny	428	Normal	4	1.2	33.3
mismagius	429	Ghost	4	0.9	4.4
honchkrow	430	Dark/Flying	4	0.9	27.3
glameow	431	Normal	4	0.5	3.9
purugly	432	Normal	4	1.0	43.8
chingling	433	Psychic	4	0.2	0.6
stunky	434	Poison/Dark	4	0.4	19.2
skuntank	435	Poison/Dark	4	1.0	38.0
bronzor	436	Steel/Psychic	4	0.5	60.5
bronzong	437	Steel/Psychic	4	1.3	187.0
bonsly	438	Rock	4	0.5	15.0
mime-jr	439	Psychic/Fairy	4	0.6	13.0
happiny	440	Normal	4	0.6	24.4
chatot	441	Normal/Flying	4	0.5	1.9
spiritomb	442	Ghost/Dark	4	1.0	108.0
gible	443	Dragon/Ground	4	0.7	20.5
gabite	444	Dragon/Ground	4	1.4	56.0
garchomp	445	Dragon/Ground	4	1.9	95.0
munchlax	446	Normal	4	0.6	105.0
riolu	447	Fighting	4	0.7	20.2
lucario	448	Fighting/Steel	4	1.2	54.0
hippopotas	449	Ground	4	0.8	49.5
hippowdon	450	Ground	4	2.0	300.0
skorupi	451	Poison/Bug	4	0.8	12.0
drapion	452	Poison/Dark	4	1.3	61.5
croagunk	453	Poison/Fighting	4	0.7	23.0
toxicroak	454	Poison/Fighting	4	1.3	44.4
carnivine	455	Grass	4	1.4	27.0
finneon	456	Water	4	0.4	7.0
lumineon	457	Water	4	1.2	24.0
mantyke	458	Water/Flying	4	1.0	65.0
snover	459	Grass/Ice	4	1.0	50.5
abomasnow	460	Grass/Ice	4	2.2	135.5
weavile	461	Dark/Ice	4	1.1	34.0
magnezone	462	Electric/Steel	4	1.2	180.0
lickilicky	463	Normal	4	1.7	140.0
rhyperior	464	Ground/Rock	4	2.4	282.8
tangrowth	465	Grass	4	2.0	128.6
electivire	466	Electric	4	1.8	138.6
magmortar	467	Fire	4	1.6	68.0
togekiss	468	Fairy/Flying	4	1.5	38.0
yanmega	469	Bug/Flying	4	1.9	51.5
leafeon	470	Grass	4	1.0	25.5
glaceon	471	Ice	4	0.8	25.9
gliscor	472	Ground/Flying	4	2.0	42.5
mamoswine	473	Ice/Ground	4	2.5	291.0
porygon-z	474	Normal	4	0.9	34.0
gallade	475	Psychic/Fighting	4	1.6	52.0
probopass	476	Rock/Steel	4	1.4	340.0
dusknoir	477	Ghost	4	2.2	106.6
froslass	478	Ice/Ghost	4	1.3	26.6
rotom	479	Electric/Ghost	4	0.3	0.3
uxie	480	Psychic	4	0.3	0.3
mesprit	481	Psychic	4	0.3	0.3
azelf	482	Psychic	4	0.3	0.3
dialga	483	Steel/Dragon	4	5.4	683.0
palkia	484	Water/Dragon	4	4.2	336.0
heatran	485	Fire/Steel	4	1.7	430.0
regigigas	486	Normal	4	3.7	420.0
giratina	487	Ghost/Dragon	4	4.5	750.0
cresselia	488	Psychic	4	1.5	85.6
phione	489	Water	4	0.4	3.1
manaphy	490	Water	4	0.3	1.4
darkrai	491	Dark	4	1.5	50.5
shaymin	492	Grass	4	0.2	2.1
arceus	493	Normal	4	3.2	320.0
victini	494	Psychic/Fire	5	0.4	4.0
snivy	495	Grass	5	0.6	8.1
servine	496	Grass	5	0.8	16.0
serperior	497	Grass	5	3.3	63.0
tepig	498	Fire	5	0.5	9.9
pignite	499	Fire/Fighting	5	1.0	55.5
emboar	500	Fire/Fighting	5	1.6	150.0
oshawott	501	Water	5	0.5	5.9
dewott	502	Water	5	0.8	24.5
samurott	503	Water	5	1.5	94.6
patrat	504	Normal	5	0.5	11.6
watchog	505	Normal	5	1.1	27.0
lillipup	506	Normal	5	0.4	4.1
herdier	507	Normal	5	0.9	14.7
stoutland	508	Normal	5	1.2	61.0
purrloin	509	Dark	5	0.4	10.1
liepard	510	Dark	5	1.1	37.5
pansage	511	Grass	5	0.6	10.5
simisage	512	Grass	5	1.1	30.5
pansear	513	Fire	5	0.6	11.0
simisear	514	Fire	5	1.0	28.0
panpour	515	Water	5	0.6	13.5
simipour	516	Water	5	1.0	29.0
munna	517	Psychic	5	0.6	23.3
musharna	518	Psychic	5	1.1	60.5
pidove	519	Normal/Flying	5	0.3	2.1
tranquill	520	Normal/Flying	5	0.6	15.0
unfezant	521	Normal/Flying	5	1.2	29.0
blitzle	522	Electric	5	0.8	29.8
zebstrika	523	Electric	5	1.6	79.5
roggenrola	524	Rock	5	0.4	18.0
boldore	525	Rock	5	0.9	102.0
gigalith	526	Rock	5	1.7	260.0
woobat	527	Psychic/Flying	5	0.4	2.1
swoobat	528	Psychic/Flying	5	0.9	10.5
drilbur	529	Ground	5	0.3	8.5
excadrill	530	Ground/Steel	5	0.7	40.4
audino	531	Normal	5	1.1	31.0
timburr	532	Fighting	5	0.6	12.5
gurdurr	533	Fighting	5	1.2	40.0
conkeldurr	534	Fighting	5	1.4	87.0
tympole	535	Water	5	0.5	4.5
palpitoad	536	Water/Ground	5	0.8	17.0
seismitoad	537	Water/Ground	5	1.5	62.0
throh	538	Fighting	5	1.3	55.5
sawk	539	Fighting	5	1.4	51.0
sewaddle	540	Bug/Grass	5	0.3	2.5
swadloon	541	Bug/Grass	5	0.5	7.3
leavanny	542	Bug/Grass	5	1.2	20.5
venipede	543	Bug/Poison	5	0.4	5.3
whirlipede	544	Bug/Poison	5	1.2	58.5
scolipede	545	Bug/Poison	5	2.5	200.5
cottonee	546	Grass/Fairy	5	0.3	0.6
whimsicott	547	Grass/Fairy	5	0.7	6.6
petilil	548	Grass	5	0.5	6.6
lilligant	549	Grass	5	1.1	16.3
basculin	550	Water	5	1.0	18.0
sandile	551	Ground/Dark	5	0.7	15.2
krokorok	552	Ground/Dark	5	1.0	33.4
krookodile	553	Ground/Dark	5	1.5	96.3
darumaka	554	Fire	5	0.6	37.5
darmanitan	555	Fire	5	1.3	92.9
maractus	556	Grass	5	1.0	28.0
dwebble	557	Bug/Rock	5	0.3	14.5
crustle	558	Bug/Rock	5	1.4	200.0
scraggy	559	Dark/Fighting	5	0.6	11.8
scrafty	560	Dark/Fighting	5	1.1	30.0
sigilyph	561	Psychic/Flying	5	1.4	14.0
yamask	562	Ghost	5	0.5	1.5
cofagrigus	563	Ghost	5	1.7	76.5
tirtouga	564	Water/Rock	5	0.7	16.5
carracosta	565	Water/Rock	5	1.2	81.0
archen	566	Rock/Flying	5	0.5	9.5
archeops	567	Rock/Flying	5	1.4	32.0
trubbish	568	Poison	5	0.6	31.0
garbodor	569	Poison	5	1.9	107.3
zorua	570	Dark	5	0.7	12.5
zoroark	571	Dark	5	1.6	81.1
minccino	572	Normal	5	0.4	5.8
cinccino	573	Normal	5	0.5	7.5
gothita	574	Psychic	5	0.4	5.8
gothorita	575	Psychic	5	0.7	18.0
gothitelle	576	Psychic	5	1.5	44.0
solosis	577	Psychic	5	0.3	1.0
duosion	578	Psychic	5	0.6	8.0
reuniclus	579	Psychic	5	1.0	20.1
ducklett	580	Water/Flying	5	0.5	5.5
swanna	581	Water/Flying	5	1.3	24.2
vanillite	582	Ice	5	0.4	5.7
vanillish	583	Ice	5	1.1	41.0
vanilluxe	584	Ice	5	1.3	57.5
deerling	585	Normal/Grass	5	0.6	19.5
sawsbuck	586	Normal/Grass	5	1.9	92.5
emolga	587	Electric/Flying	5	0.4	5.0
karrablast	588	Bug	5	0.5	5.9
escavalier	589	Bug/Steel	5	1.0	33.0
foongus	590	Grass/Poison	5	0.2	1.0
amoonguss	591	Grass/Poison	5	0.6	10.5
frillish	592	Water/Ghost	5	1.2	33.0
jellicent	593	Water/Ghost	5	2.2	135.0
alomomola	594	Water	5	1.2	31.6
joltik	595	Bug/Electric	5	0.1	0.6
galvantula	596	Bug/Electric	5	0.8	14.3
ferroseed	597	Grass/Steel	5	0.6	18.8
ferrothorn	598	Grass/Steel	5	1.0	110.0
klink	599	Steel	5	0.3	21.0
klang	600	Steel	5	0.6	51.0
klinklang	601	Steel	5	0.6	81.0
tynamo	602	Electric	5	0.2	0.3
eelektrik	603	Electric	5	1.2	22.0
eelektross	604	Electric	5	2.1	80.5
elgyem	605	Psychic	5	0.5	9.0
beheeyem	606	Psychic	5	1.0	34.5
litwick	607	Ghost/Fire	5	0.3	3.1
lampent	608	Ghost/Fire	5	0.6	13.0
chandelure	609	Ghost/Fire	5	1.0	34.3
axew	610	Dragon	5	0.6	18.0
fraxure	611	Dragon	5	1.0	36.0
haxorus	612	Dragon	5	1.8	105.5
cubchoo	613	Ice	5	0.5	8.5
beartic	614	Ice	5	2.6	260.0
cryogonal	615	Ice	5	1.1	148.0
shelmet	616	Bug	5	0.4	7.7
accelgor	617	Bug	5	0.8	25.3
